화재발생연도,시군구,사망자수,부상자수,재산피해금액,출동횟수,출동횟수_겨울,출동횟수_여름
2017,강남구,,11,1565258,502,129,120
2017,강동구,,12,418593,269,63,73
2017,강북구,,6,339146,186,51,41
2017,강서구,3.0,22,706871,364,89,81
2017,관악구,3.0,20,654690,286,82,69
2017,광진구,1.0,6,433742,200,37,44
2017,구로구,1.0,5,460568,260,54,71
2017,금천구,2.0,7,605549,174,33,49
2017,노원구,3.0,18,566821,279,80,75
2017,도봉구,2.0,6,288836,192,37,59
2017,동대문구,1.0,2,1122454,200,54,48
2017,동작구,3.0,10,277144,222,34,64
2017,마포구,1.0,7,1359029,235,62,59
2017,서대문구,1.0,15,397573,232,36,69
2017,서초구,2.0,13,695667,242,65,51
2017,성동구,1.0,11,621324,197,54,48
2017,성북구,1.0,8,400640,183,49,39
2017,송파구,3.0,13,639227,318,94,74
2017,양천구,,7,300631,244,53,67
2017,영등포구,1.0,16,1093594,239,65,64
2017,용산구,,6,262910,167,37,45
2017,은평구,,3,218200,159,51,32
2017,종로구,1.0,3,1077665,234,55,69
2017,중구,5.0,14,485392,198,48,47
2017,중랑구,2.0,5,332366,196,53,38
2018,강남구,,23,1624983,436,134,111
2018,강동구,4.0,15,540625,324,102,88
2018,강북구,4.0,2,216838,203,64,42
2018,강서구,2.0,18,393401,383,94,109
2018,관악구,1.0,20,816562,337,99,89
2018,광진구,,7,658185,203,52,53
2018,구로구,2.0,3,239327,263,63,71
2018,금천구,,8,203806,168,31,57
2018,노원구,2.0,10,331000,229,54,53
2018,도봉구,,8,201498,237,66,62
2018,동대문구,1.0,3,709487,203,56,56
2018,동작구,4.0,9,312925,205,57,58
2018,마포구,2.0,4,282984,254,71,71
2018,서대문구,4.0,9,7877501,229,50,69
2018,서초구,,15,848067,242,90,55
2018,성동구,,12,616085,212,58,47
2018,성북구,,10,487565,215,60,61
2018,송파구,,28,970251,340,95,90
2018,양천구,1.0,11,357569,219,39,61
2018,영등포구,4.0,23,704193,258,77,58
2018,용산구,1.0,6,394903,211,59,50
2018,은평구,5.0,10,419503,214,58,47
2018,종로구,14.0,22,574300,254,71,70
2018,중구,,23,1257005,275,76,74
2018,중랑구,2.0,8,201421,254,72,55
2019,강남구,1.0,23,1677681,456,120,125
2019,강동구,1.0,10,533359,254,58,69
2019,강북구,1.0,9,217805,167,38,41
2019,강서구,,24,666297,331,68,98
2019,관악구,3.0,6,654586,311,83,70
2019,광진구,,8,392843,195,44,50
2019,구로구,,7,411829,247,64,58
2019,금천구,,4,671767,141,31,30
2019,노원구,,6,185642,203,49,46
2019,도봉구,3.0,8,768448,179,54,38
2019,동대문구,5.0,21,870342,195,53,51
2019,동작구,2.0,10,179243,208,52,53
2019,마포구,,13,393425,246,70,69
2019,서대문구,1.0,12,220960,269,77,67
2019,서초구,2.0,42,970247,242,61,57
2019,성동구,2.0,7,724217,194,59,45
2019,성북구,,10,464341,191,49,56
2019,송파구,2.0,19,958829,335,81,87
2019,양천구,2.0,7,465720,163,27,53
2019,영등포구,1.0,48,3099954,265,64,63
2019,용산구,,5,267865,238,47,67
2019,은평구,3.0,20,2412769,196,62,34
2019,종로구,4.0,16,801094,232,60,63
2019,중구,3.0,17,74077097,213,51,39
2019,중랑구,1.0,9,322650,210,54,49
2020,강남구,1.0,18,1451556,387,100,98
2020,강동구,3.0,19,363839,221,49,69
2020,강북구,1.0,5,208380,186,44,57
2020,강서구,3.0,5,200966,212,42,53
2020,관악구,2.0,15,646149,219,60,47
2020,광진구,,4,366714,186,36,51
2020,구로구,2.0,6,398359,156,42,38
2020,금천구,2.0,9,419587,127,35,30
2020,노원구,,11,383922,172,42,48
2020,도봉구,,7,491309,163,50,36
2020,동대문구,6.0,17,3392558,152,43,34
2020,동작구,,7,194251,151,39,37
2020,마포구,3.0,29,2069049,240,59,62
2020,서대문구,3.0,4,928985,220,54,40
2020,서초구,1.0,10,555349,240,56,51
2020,성동구,,2,507827,187,51,44
2020,성북구,,11,661555,173,46,41
2020,송파구,1.0,7,379677,307,66,93
2020,양천구,,4,215416,153,35,38
2020,영등포구,3.0,8,674796,225,61,52
2020,용산구,,5,269835,192,41,49
2020,은평구,2.0,6,504788,192,48,46
2020,종로구,2.0,5,639751,217,50,49
2020,중구,,10,1284422,185,41,54
2020,중랑구,2.0,12,229566,225,54,57
2021,강남구,2.0,15,1354949,391,112,91
2021,강동구,1.0,12,346741,211,56,45
2021,강북구,5.0,14,410205,146,29,38
2021,강서구,2.0,12,559614,223,61,50
2021,관악구,2.0,17,562294,259,74,54
2021,광진구,2.0,10,889681,205,46,56
2021,구로구,1.0,7,1765589,173,52,33
2021,금천구,2.0,8,825255,118,37,28
2021,노원구,1.0,12,432605,173,48,49
2021,도봉구,,6,219916,140,33,34
2021,동대문구,3.0,15,1209541,155,51,40
2021,동작구,3.0,9,307365,129,42,27
2021,마포구,2.0,7,591687,242,64,53
2021,서대문구,,7,249728,262,77,52
2021,서초구,,9,549807,231,69,51
2021,성동구,,5,458412,191,48,54
2021,성북구,4.0,46,493231,168,56,37
2021,송파구,1.0,5,788289,263,64,59
2021,양천구,2.0,3,576094,151,42,42
2021,영등포구,,8,913698,208,50,53
2021,용산구,,5,296793,176,47,36
2021,은평구,3.0,8,875722,160,57,42
2021,종로구,,12,465499,192,48,54
2021,중구,,16,2780374,171,41,49
2021,중랑구,1.0,12,345257,213,63,59
