연도,시군구명,작동기기,미상(발화원인),불꽃/ 불티,담뱃불/ 라이터불,마찰/ 전도/ 복사
2017,강남구,185,35,39,150,80
2017,마포구,103,23,19,62,16
2017,강서구,144,26,22,88,80
2017,강동구,113,24,14,71,32
2017,강북구,100,11,9,42,23
2017,양천구,91,10,14,51,77
2017,서초구,93,22,20,66,38
2017,송파구,123,33,17,68,77
2017,관악구,111,37,14,68,51
2017,서대문구,113,14,8,59,31
2017,은평구,71,33,11,29,13
2017,영등포구,132,18,26,41,14
2017,중랑구,61,27,12,54,40
2017,노원구,135,19,9,63,49
2017,광진구,92,13,18,53,24
2017,동작구,105,12,9,76,16
2017,구로구,87,21,13,48,89
2017,금천구,67,8,9,27,62
2017,성북구,96,25,15,35,10
2017,성동구,98,21,20,41,10
2017,종로구,110,29,14,52,24
2017,용산구,49,22,15,44,36
2017,중구,89,21,9,41,25
2017,동대문구,86,21,15,51,25
2017,도봉구,117,9,2,47,11
2018,강남구,216,32,24,131,29
2018,마포구,146,16,13,67,4
2018,강서구,231,24,17,89,19
2018,강동구,174,14,15,87,32
2018,강북구,123,14,7,46,7
2018,양천구,104,11,16,49,37
2018,서초구,132,23,7,51,21
2018,송파구,200,33,20,69,14
2018,관악구,209,30,21,71,3
2018,서대문구,118,15,11,70,9
2018,은평구,117,27,12,30,27
2018,영등포구,129,29,21,71,7
2018,중랑구,103,14,13,70,53
2018,노원구,100,23,11,70,20
2018,광진구,111,24,9,47,12
2018,동작구,114,11,14,56,5
2018,구로구,184,12,12,43,11
2018,금천구,117,7,8,28,7
2018,성북구,121,23,12,47,11
2018,성동구,107,24,18,41,18
2018,종로구,112,28,21,63,18
2018,용산구,70,36,19,47,37
2018,중구,127,21,15,76,34
2018,동대문구,109,22,7,54,7
2018,도봉구,127,17,9,38,44
2019,강남구,202,20,20,158,52
2019,마포구,113,30,16,71,11
2019,강서구,147,22,19,81,38
2019,강동구,132,17,8,73,24
2019,강북구,100,15,6,38,5
2019,양천구,84,4,14,35,25
2019,서초구,127,26,12,58,17
2019,송파구,193,20,18,84,19
2019,관악구,187,34,12,60,16
2019,서대문구,117,19,8,92,26
2019,은평구,83,25,13,40,29
2019,영등포구,113,32,12,87,18
2019,중랑구,70,15,7,55,60
2019,노원구,98,12,10,54,22
2019,광진구,83,25,8,52,24
2019,동작구,131,5,10,51,10
2019,구로구,147,11,18,49,20
2019,금천구,78,9,8,33,13
2019,성북구,104,21,11,43,12
2019,성동구,102,23,12,42,13
2019,종로구,102,22,19,59,20
2019,용산구,69,22,14,85,46
2019,중구,79,24,11,79,20
2019,동대문구,98,22,11,49,8
2019,도봉구,64,21,11,29,50
2020,강남구,167,21,21,151,23
2020,마포구,106,23,17,83,8
2020,강서구,78,15,18,63,27
2020,강동구,132,12,9,49,14
2020,강북구,120,17,5,35,8
2020,양천구,79,8,12,42,11
2020,서초구,94,35,14,71,22
2020,송파구,181,9,20,84,8
2020,관악구,116,19,14,62,7
2020,서대문구,88,22,9,77,22
2020,은평구,108,16,9,43,11
2020,영등포구,95,19,15,70,22
2020,중랑구,66,12,12,60,73
2020,노원구,79,15,17,43,16
2020,광진구,95,14,1,55,21
2020,동작구,86,13,10,32,8
2020,구로구,86,10,18,34,8
2020,금천구,75,10,6,31,3
2020,성북구,81,21,10,48,11
2020,성동구,83,28,12,38,21
2020,종로구,85,32,13,50,33
2020,용산구,63,15,9,56,46
2020,중구,94,14,12,46,15
2020,동대문구,44,29,11,46,19
2020,도봉구,61,24,6,38,32
2021,강남구,180,30,13,146,19
2021,마포구,117,25,16,72,9
2021,강서구,113,17,13,55,19
2021,강동구,111,19,13,59,6
2021,강북구,76,12,5,38,12
2021,양천구,81,12,5,33,12
2021,서초구,120,14,18,61,14
2021,송파구,151,18,15,66,9
2021,관악구,166,27,9,53,2
2021,서대문구,101,18,5,67,66
2021,은평구,81,11,9,38,7
2021,영등포구,106,20,30,41,6
2021,중랑구,68,16,6,47,71
2021,노원구,87,14,10,41,17
2021,광진구,107,16,8,52,20
2021,동작구,65,9,4,32,10
2021,구로구,87,21,9,32,9
2021,금천구,66,9,5,21,7
2021,성북구,90,11,8,41,17
2021,성동구,92,27,10,46,14
2021,종로구,81,23,13,38,34
2021,용산구,56,15,16,55,30
2021,중구,83,24,10,44,10
2021,동대문구,64,18,10,42,14
2021,도봉구,86,11,6,25,10
